Rule ID,Rule Title,Legal Requirement,Description (Simple English),Product Category,Mandatory/Conditional,Evidence Required,Applicable Regulation,Clause,Version/Amendment,Effective Date,Remarks
LAB-ALC-001,Alcohol Statutory Warning,There shall be a statutory warning... 'CONSUMPTION OF ALCOHOL IS INJURIOUS TO HEALTH. BE SAFE-DONT DRINK AND DRIVE.',Alcohol containers must carry the specific statutory health warning.,Alcoholic Beverages,Mandatory,Label,Food Safety and Standards (Alcoholic Beverages) Regs,5.12,V-V (2025),"Apr 1, 2019",Font size scaled to volume.
LAB-AYU-001,Ayurveda Aahara Warning,Every label... shall specify 'AYURVEDA AAHARA' and the logo... an advisory warning 'ONLY FOR DIETARY USE'.,Ayurveda Aahara must display its specific logo and dietary use warning.,Ayurveda Aahara,Mandatory,Label,Food Safety and Standards (Ayurveda Aahara) Regulations,13(a)-(b),2022,"May 6, 2022",Not for parenteral use.
PKG-MIG-001,Plastic Migration Limits,All packaging materials of plastic origin shall pass the prescribed overall migration limit of 60mg/kg or 10mg/dm2...,Food contact plastics must pass chemical leaching tests.,Food Contact Plastics,Mandatory,NABL Test,Food Safety and Standards (Packaging) Regulations,4(4)(b),V-V (2025),"Jul 1, 2019",Specific metal limits apply.
PKG-WAT-001,Drinking Water Transparency,"Drinking Water shall be packed in colourless, transparent and tamper-proof bottles... transparency not less than 85 percent.",Water bottles must be clear (>=85% light transmission) and tamper-proof.,Packaged Water,Mandatory,Specs,Food Safety and Standards (Packaging) Regulations,4(4)(a),V-V (2025),"Jul 1, 2019",Colorants for >=5L allowed.
SAF-TRF-001,Trans Fatty Acids Limit,Food Products in which edible oils and fats are used... shall not contain industrial trans fatty acids more than 2% by mass...,Industrial trans fats are strictly limited to 2% of total fat.,Foods with Oils/Fats,Mandatory,Lab Report,Food Safety and Standards (Prohibition/Restriction) Regs,2.3.14 (21),V-XI (2025),"Jan 1, 2022",Excludes natural trans fats.
SAF-ARS-001,Arsenic Limit in Fish Oils,"For fish oils, the Maximum level (ML) of inorganic arsenic (As-in) that is 0.1 mg/kg will be applicable.",Fish oils must not contain inorganic arsenic over 0.1 ppm.,Fish Oils,Mandatory,Lab Report,Food Safety and Standards (Contaminants & Toxins) Regs,2(b) Note,2026 Amend,"Dec 1, 2026",No follow-up if total <0.1.
SAF-PRH-001,Carbide Gas Prohibition,"No person shall sell... fruits which have been artificially ripened by use of acetylene gas, commonly known as carbide gas.",Carbide gas ripening is banned (Ethylene gas up to 100ppm allowed).,Fresh Fruits,Mandatory,Audit,Food Safety and Standards (Prohibition/Restriction) Regs,2.3.5,V-XI (2025),"Aug 5, 2011",Ethylene <100ppm.
LIC-FBO-001,FSSAI License Requirement,No person shall commence any food business unless he possesses a valid license...,Every commercial food operator must hold an active FSSAI License/Registration.,All Food Businesses,Mandatory,Form C,Food Safety and Standards (Licensing & Registration) Regs,2.1.2(1),V-II (2017),"Aug 5, 2011",Validity 1-5 years.
LIC-IMP-001,Import License & DGFT,No person shall import any article of food without an import license... Food Importer shall register with DGFT and possess valid IEC.,Importers need a Central FSSAI License and DGFT IEC.,Imported Foods,Mandatory,Licenses,Food Safety and Standards (Import) Regulations,3(1)-(2),V-VII (2025),"Mar 9, 2017",IEC suspension cancels FSSAI.
CND-IMP-001,60% Shelf Life Import,The custom shall not clear any article of food unless it has a valid shelf life of not less than sixty per cent or three months before expiry...,Imported foods must have at least 60% or 3 months shelf life remaining.,Imported Foods,Mandatory,Customs,Food Safety and Standards (Import) Regulations,5(6),V-VII (2025),"Feb 7, 2018",Enforced at port.
CND-SCH-001,HFSS 50-meter Ban,No person shall advertise or market or sell... food products high in saturated fat or trans-fat or added sugar or sodium in school campus or... within fifty meters...,HFSS foods cannot be sold or advertised within 50 meters of a school.,HFSS Foods,Mandatory,Audit,Food Safety and Standards (Safe food for children) Regs,5(1),2020,"Jul 1, 2021",Strict radius control.
EXC-VEG-001,Veg Logo Exemptions,"Provisions of regulations 5(4)... shall not apply in respect of mineral water, packaged drinking water, carbonated water, alcoholic beverages, liquid milk, milk powders and honey.","Water, plain alcohol, milk, and honey are exempt from Veg/Non-Veg logos.","Water, Alcohol, Milk",Conditional,N/A,Food Safety and Standards (Labelling and Display) Regs,5(4) Proviso,V-VIII (2025),"Jul 1, 2022",If no non-veg processing aids.
EXE-DIM-001,Small Package Exemption,"Where the surface area of the package is not more than 100 square centimetres, the label... shall be exempted from the requirements of list of ingredients...",Packages <100 cm² do not need ingredient lists/nutrition panels on the primary unit.,Small Packages,Conditional,Dimensions,Food Safety and Standards (Labelling and Display) Regs,8(1),V-VIII (2025),"Jul 1, 2022",Multi-packs must show info.
